"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"BLANK_2",-12.813,4.4909,-2.786,-0.32833,0.88715,-2.1651,-0.46826,1.4113,1.4781,-1.9329,1.9046,-1.2564,-0.16098,0.14805,-0.58854,0.20234,-0.81809,1.2954e-15,-1.2595e-15
"QC.1_Dup",-1.378,3.7216,7.9736,0.22569,-0.034196,0.66996,-0.09516,0.02205,0.015174,0.30843,0.02213,0.12557,-0.083804,-0.2194,0.39709,0.042569,-0.113,9.5394e-15,6.8258e-15
"QC.1",-1.378,3.7216,7.9736,0.22569,-0.034196,0.66996,-0.09516,0.02205,0.015174,0.30843,0.02213,0.12557,-0.083804,-0.2194,0.39709,0.042569,-0.113,9.5394e-15,6.8258e-15
"QC.2",1.4566,0.060238,-1.5127,2.1984,-0.40097,0.28267,-0.57429,-0.40062,1.1209,0.89974,-1.7495,2.0093,0.14028,1.1969,-0.12573,2.8788,-4.6593,1.1056e-15,1.4427e-15
"QC.3",0.53007,0.37403,-0.55705,1.6316,0.99344,-0.53809,0.39835,0.021683,1.0257,1.9595,0.20439,0.42516,-0.64166,3.9079,-1.9868,2.57,3.597,-5.4164e-16,1.088e-15
"C12.1",-3.9192,-15.176,2.9207,-0.35948,0.74336,-1.769,-0.27126,-0.29806,0.37412,-0.59236,-0.31985,-0.13015,0.1932,-0.0051827,0.30272,0.040738,-0.031413,-6.6099e-15,-4.6924e-15
"C12.3",-1.3148,1.3955,-1.7928,-1.5548,0.81051,-0.27615,0.15489,-3.7483,-3.2871,0.27125,-0.50085,-1.4388,-1.2615,2.8155,3.7406,-0.64613,-0.30901,-1.9856e-15,1.0968e-15
"C12.4",3.1945,-0.61388,-1.0184,1.6311,0.42992,1.1389,-0.24212,2.6675,1.3123,0.84576,2.2937,-0.0072823,4.1187,2.2433,1.9544,-2.6348,-0.38125,-2.5195e-15,-1.1731e-15
"D12.1",2.6939,0.60209,-1.5424,0.19741,1.1842,0.53961,0.31776,2.0871,1.5547,-3.3742,-0.85257,3.098,-2.1743,-1.1763,3.3953,0.70817,1.663,9.2732e-16,-1.0981e-15
"D12.2",1.8137,1.0064,-0.63463,-7.2375,2.7258,-0.27468,4.0961,0.36429,0.88606,0.9492,-1.2034,0.70063,1.0505,-0.28403,-1.3085,-0.36248,-0.56792,6.7288e-17,1.2306e-17
"D12.3",2.7815,-0.569,-0.23754,2.4569,2.033,2.1539,1.8221,1.1543,-4.0736,-3.8699,0.0043742,-1.6344,0.8614,0.03798,-2.3154,0.71708,-0.36863,-1.8493e-15,4.2891e-16
"D12.4",2.5336,-0.66916,-1.2027,2.3372,0.67172,-0.077007,2.7583,-3.144,0.75769,1.4457,4.8118,0.1396,-0.97575,-2.8794,0.13578,0.48216,-0.19996,-3.6484e-15,6.432e-17
"F12.1",2.5583,-0.12493,-1.0533,-1.6372,0.49029,-2.0979,-3.0908,3.9922,-3.4089,3.0927,1.1176,-0.31513,-1.3911,-1.7063,0.17931,0.80769,-0.17613,-1.6914e-15,-1.6094e-15
"F12.2",0.27188,2.6944,-0.99284,1.4509,-0.056711,-4.1015,-1.7026,-2.7153,-1.385,-0.5789,-1.7083,2.7788,3.2339,-1.6083,-1.0043,-1.0473,1.2159,1.542e-15,-4.7592e-15
"F12.3",-7.5979,-1.3302,-2.6969,0.74999,-2.7474,5.1,1.0166,0.31237,-1.2885,2.3613,-1.719,1.3192,0.40571,-1.563,-0.093479,-0.59492,1.0653,-1.6199e-15,-5.4606e-15
"F12.4",3.0211,-0.068241,-0.099211,-1.6091,-8.0097,-2.0283,1.8861,0.67095,-0.11923,-1.5136,0.63101,-0.66473,-0.32518,0.78525,-0.31507,0.15168,0.04222,-3.7737e-15,2.7037e-15
"X12.1",2.7653,0.96851,-1.2386,1.4983,0.22612,-0.37454,-0.31018,-0.18306,2.5633,0.70747,-3.1938,-5.0834,0.8231,-2.1587,1.0128,0.76192,0.71162,-3.8907e-15,1.0431e-15
"X12.2",2.0954,0.049872,-0.62307,2.081,0.56094,-0.40451,-0.38383,0.081719,1.1032,0.34544,-1.3206,0.090803,-3.8879,0.76034,-2.325,-4.4272,-0.80061,-6.1583e-17,-4.0874e-16
"X12.3",2.6849,-0.53407,-0.87966,-3.9577,-0.47335,3.5516,-5.2167,-2.3182,1.3559,-1.6331,1.5562,-0.28225,0.15913,-0.075203,-1.4522,0.30711,0.2432,3.403e-15,-1.6203e-15
