"","sample","condition","sodium_formate","M177.03T19.56","M186.96T7.54","M205.07T813.54","M217.03T22.06","M222.96T20.57","M224.13T58.72","M236.94T4.52"
"1","C15.1","Third_Time-Point_Control",3934423.297,20090.693,7205.886,41579.759,7216.126,13399.117,90143.59,16384.355
"2","C15.2","Third_Time-Point_Control",3867787.496,20789.589,6884.996,88893.127,8151.171,12524.8,30980.55,19463.917
"3","C15.3","Third_Time-Point_Control",3442128.325,14800,7980,52600,8000,9650,52800,18300
"4","C15.4","Third_Time-Point_Control",3960498.029,16088.496,6430.452,83945.605,8080.517,13463.153,30290.49,17849.774
"5","D15.1","Third_Time-Point_Drought",4037491.87,21258.1779,8025.5912,47539.7335,8300.8735,13751.7135,36664.6783,17291.2429
"6","D15.2","Third_Time-Point_Drought",3920796.465,19517.132,6899.205,42660.617,7404.329,16268.66,33204.752,11573.983
"7","D15.3","Third_Time-Point_Drought",4069492.77,19847.364,7808.635,24601.701,6401.476,13711.773,31309.828,17141.596
"8","D15.4","Third_Time-Point_Drought",3868513.993,17226.406,7649.083,13502.313,7670.698,14781.54,143478.286,18765.547
"9","F15.1","Third_Time-Point_Fusarium",3964439.746,22156.27,7007.753,33593.862,6849.446,13242.512,55700.271,18347.345
"10","F15.2","Third_Time-Point_Fusarium",4037001.94,20992.703,6899.47,40168.164,8377.72,14693.24,122041.735,18699.932
"11","F15.3","Third_Time-Point_Fusarium",4030308.581,18590.212,8001.491,38329.428,7200.23,12415.134,45008.825,15705.755
"12","F15.4","Third_Time-Point_Fusarium",3922005.864,17574.525,7251.251,91455.601,7854.807,15366.567,191431.166,17632.074
"13","X15.1","Third_Time-Point_Xanthomonas",3735044.78,16277.832,6917.147,69695.01,6345.012,10849.314,29906.092,17831.573
"14","X15.2","Third_Time-Point_Xanthomonas",3901010.182,19071.683,8078.855,56621.324,8580.785,11679.061,34205.585,17071.519
"15","X15.3","Third_Time-Point_Xanthomonas",3528207.642,12823.386,6085.126,75040.249,5751.202,8728.152,295159.68,17813.28
"16","X15.4","Third_Time-Point_Xanthomonas",4862691.729,20781.213,6407.413,40945.373,9111.158,15291.01,65877.04,15535.325
"17","BLANK_2","Other",3667732.211,13327.47,6758.931,42186.738,7018.118,8172.888,32103.776,17306.435
"18","QC.1_Dup","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"19","QC.1","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"20","QC.2","Other",3845070.71,17582.59,6932.437,79742.875,8481.368,13032.982,51273.011,17884.412
"21","QC.3","Other",4035455.455,19121.192,6727.683,86509.759,7675.806,13079.498,44633.211,20194.171
