"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X16.C9.3.neg",-10.425,-10.899,-2.1504,-2.6448,3.5036,-1.2968,-3.7297,-0.17367
"X19.C9.2.neg",6.437,-18.616,2.7812,-4.165,-13.485,8.3494,2.6586,-10.86
"X21.C9.4.neg",-12.879,-3.0018,-0.99949,-14.929,-4.2323,2.2819,-7.004,1.344
"X45.C9.1.neg",-10.537,-12.187,-1.8318,1.0387,-7.2813,-1.1727,-0.12045,-0.99857
"X13.D9.4.neg",-13.976,-3.3089,-2.0006,-2.583,-3.8492,-6.5702,-2.9746,-0.45376
"X20.D9.1.neg",-32.923,5.7008,-11.72,5.8882,-11.366,-2.2709,-1.9306,0.6379
"X49.D9.2.neg",-9.365,-10.872,-0.30029,-1.696,-0.96335,-1.716,-0.64246,2.0338
"X48.D9.3.neg",-6.2647,-8.3342,-1.3625,-3.5921,10.13,-2.9799,-2.8708,-6.4604
"X26.F9.1.neg",-9.6246,-6.1514,-2.3962,-2.5784,5.6406,-1.9996,-1.823,1.734
"X34.F9.2.neg",38.61,-3.7313,-8.317,-4.0576,-3.5857,1.0062,1.6591,2.1578
"X36.F9.3.neg",-27.023,5.6365,-7.5727,0.83207,-14.379,-0.39686,5.3889,0.76997
"X46.F9.4.neg",33.015,3.8657,-10.412,-5.9003,-6.5057,-1.5251,-4.3504,3.368
"X14.X9.2.neg",-7.8577,-8.1508,-0.93786,-1.6356,-2.1221,0.28267,6.9875,3.7396
"X23.X9.1.neg",-20.099,-0.25246,-2.7216,-0.92265,7.6583,-0.73655,-9.8329,-3.0052
"X27.X9.3.neg",-7.9708,-7.7229,-0.97497,0.32324,3.8578,-1.1128,2.7852,-0.53301
"X40.X9.4.neg",-15.827,-0.82138,-2.613,-0.64745,-1.8839,-2.0049,2.4416,-1.7242
"X53.Blank.neg",40.289,-4.0655,-3.779,-5.3837,1.2437,1.9029,0.19727,-0.60815
"X10.QC1.neg",-6.1582,-3.881,0.41624,-0.10138,0.40016,-3.4305,2.8893,-0.96351
"X24.QC.2.neg",-5.9351,-4.1773,-0.77326,0.53765,0.69477,-1.3975,5.147,0.62995
"X39.QC3.neg",-5.8315,-3.1202,0.98376,-0.7945,-2.7216,-4.6546,1.3049,-0.32639
"X02.C12.2.neg",-6.6604,-6.6583,2.7673,-3.1014,5.8342,3.9629,-0.32914,3.2905
"X18.C12.3.neg",-5.6985,-7.2607,4.3514,0.8911,-5.3682,0.18201,-0.59362,2.003
"X33.C12.4.neg",-11.71,-4.4408,2.8304,1.5974,5.7251,-3.2156,-7.8104,-1.2158
"X12.D12.2.neg",-14.584,-0.49565,-1.9671,2.3154,-0.72017,0.61095,9.7393,7.2247
"X28.D12.3.neg",-11.522,-0.77595,0.41103,5.741,-0.58311,-2.0484,2.2984,-3.4637
"X44.D12.1.neg",36.984,1.3466,-4.3098,-0.90311,-2.1851,1.22,0.1228,0.4266
"X52.D12.4.neg",-7.197,-2.949,-0.24126,0.51058,5.027,1.3717,11.713,1.1071
"X05.F12.4.neg",-20.508,4.317,-2.3257,3.1936,7.5725,2.1475,-1.4086,1.1615
"X22.F12.1.neg",-29.913,13.859,-10.285,5.9713,8.206,7.8386,-2.9476,-7.4295
"X38.F12.2.neg",-21.189,8.4207,-4.7958,-1.2971,9.8057,3.0701,0.72047,3.6224
"X43.F12.3.neg",-16.635,8.3948,0.83034,-9.8473,5.642,6.0742,-1.4489,0.32027
"X09.X12.3.neg",40.601,2.0732,-1.6024,1.6437,-1.6021,-1.2609,-1.4957,1.3916
"X32.X12.2.neg",-13.296,-3.3934,2.4379,11.943,3.5287,-4.145,3.7584,0.98642
"X41.X12.1.neg",-16.148,2.3569,0.62318,3.433,11.063,0.95265,-4.5365,-0.026599
"X31.C15.3.neg",-2.29,-6.7485,8.4511,7.6483,3.3121,-1.0648,-4.6966,1.2724
"X47.C15.1.neg",-23.217,4.9112,2.3312,9.3432,-3.9105,1.1408,-3.7292,0.30756
"X50.C15.2.neg",-8.2272,0.68114,8.2987,-5.7143,-4.6707,6.7393,3.5601,4.4054
"X04.D15.4.neg",45.117,0.46922,2.4072,4.4934,1.0219,-3.2731,-2.8479,-0.40739
"X06.D15.2.neg",-5.212,19.164,0.90016,-10.417,2.0819,-5.2942,1.9014,3.2712
"X35.D15.1.neg",43.748,2.4199,0.46568,2.8949,1.7965,0.547,0.57752,-1.3132
"X37.D15.3.neg",40.293,3.9891,-0.81464,3.9669,2.3565,0.92584,-2.0533,0.14632
"X17.F15.3.neg",42.047,2.5334,1.3226,4.8491,2.5824,1.6913,1.3766,-0.61889
"X25.F15.1.neg",40.174,6.2366,0.051918,3.9124,0.18258,1.4861,-0.60879,0.15431
"X30.F15.2.neg",-15.453,10.732,7.2486,7.0182,-29.201,2.4065,-6.9203,0.83565
"X51.F15.4.neg",-2.7779,7.5104,13.335,-10.063,-3.1616,-2.9442,-6.2572,1.5007
"X08.X15.4.neg",-12.372,-1.9628,8.2351,6.2258,9.2063,5.393,0.14245,5.4946
"X11.X15.3.neg",-2.1673,13.763,6.0773,-3.3782,-2.0341,-3.3642,9.3559,-9.5019
"X29.X15.1.neg",-1.122,11.919,6.8029,-5.1702,5.5734,-2.4634,7.1593,-5.1907
"X42.X15.2.neg",43.282,3.6776,2.8433,5.3105,2.1656,0.75472,-0.92204,-0.062528
