"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M1067.787T17.122,8.9151,0.0022176,2.6541,0.84988,dro_9-con_9; foc_9-con_9; xvm_9-con_9
M1059.46T14.114,7.2427,0.0049567,2.3048,0.84988,foc_9-con_9; xvm_9-foc_9
M1287.747T14.113,6.1299,0.0090358,2.044,0.84988,xvm_9-dro_9; xvm_9-foc_9
M1356.732T13.109,6.0359,0.0095326,2.0208,0.84988,foc_9-con_9; foc_9-dro_9; xvm_9-foc_9
M882.812T18.125,5.879,0.010434,1.9815,0.84988,dro_9-con_9; foc_9-dro_9
M633.474T1424.866,5.7323,0.011369,1.9443,0.84988,xvm_9-foc_9
M1576.695T13.11,5.6205,0.012146,1.9156,0.84988,dro_9-con_9; foc_9-dro_9
M990.789T18.143,4.9205,0.018686,1.7285,0.84988,dro_9-con_9
M354.284T1595.998,4.8319,0.019777,1.7038,0.84988,dro_9-con_9; xvm_9-dro_9
M634.485T1424.862,4.8183,0.019951,1.7,0.84988,xvm_9-foc_9
M1154.769T17.115,4.7973,0.020223,1.6941,0.84988,dro_9-con_9
M1239.758T16.118,4.7877,0.020348,1.6915,0.84988,foc_9-dro_9
M649.479T1424.057,4.6593,0.02212,1.6552,0.84988,xvm_9-foc_9
M912.805T18.125,4.4969,0.024624,1.6086,0.84988,dro_9-con_9; foc_9-con_9
M1414.729T13.11,4.355,0.027084,1.5673,0.84988,dro_9-con_9
M1187.772T13.11,4.3438,0.02729,1.564,0.84988,xvm_9-foc_9
M1610.691T13.111,4.2576,0.028937,1.5385,0.84988,foc_9-dro_9
M1593.442T13.11,4.2301,0.029487,1.5304,0.84988,""
M648.465T1441.075,4.2144,0.029807,1.5257,0.84988,xvm_9-foc_9
M972.813T17.121,4.1769,0.030585,1.5145,0.84988,foc_9-con_9
M767.839T17.122,4.174,0.030645,1.5136,0.84988,foc_9-dro_9
M1279.087T13.111,4.1251,0.0317,1.4989,0.84988,""
M650.482T1423.88,4.0413,0.033604,1.4736,0.84988,xvm_9-foc_9
M1170.77T17.127,4.0407,0.033618,1.4734,0.84988,foc_9-con_9
M573.464T1458.338,3.7257,0.042067,1.3761,0.84988,xvm_9-foc_9
M1447.213T13.111,3.6979,0.042924,1.3673,0.84988,""
M1087.458T13.111,3.6675,0.043885,1.3577,0.84988,""
M1222.764T12.168,3.6527,0.044361,1.353,0.84988,xvm_9-foc_9
M575.48T1424.867,3.6325,0.045021,1.3466,0.84988,xvm_9-foc_9
M1252.751T12.611,3.6323,0.045024,1.3466,0.84988,xvm_9-dro_9
M1419.724T14.619,3.5986,0.046153,1.3358,0.84988,xvm_9-foc_9
M1522.706T13.16,3.5006,0.049617,1.3044,0.84988,""
M871.491T17.124,3.5006,0.04962,1.3043,0.84988,""
M632.472T1474.795,3.4928,0.049907,1.3018,0.84988,xvm_9-foc_9
M681.468T1391.964,3.4847,0.050207,1.2992,0.84988,""
M1107.445T13.643,3.4566,0.051271,1.2901,0.84988,""
M856.823T18.124,3.4193,0.052724,1.278,0.84988,foc_9-dro_9
M631.468T1459.998,3.4056,0.053266,1.2736,0.84988,xvm_9-foc_9
M921.817T11.166,3.4048,0.0533,1.2733,0.84988,""
M647.463T1427.898,3.3374,0.05608,1.2512,0.84988,""
M712.85T18.123,3.1938,0.062575,1.2036,0.84988,""
M1072.785T17.12,3.1795,0.063267,1.1988,0.84988,""
M1412.721T13.112,3.1713,0.063671,1.1961,0.84988,xvm_9-foc_9
M1332.239T13.111,3.1427,0.065092,1.1865,0.84988,foc_9-dro_9
M1176.767T17.124,3.1259,0.065946,1.1808,0.84988,""
M663.461T1374.938,3.1177,0.06637,1.178,0.84988,""
M1603.689T13.111,3.102,0.067181,1.1728,0.84988,""
M890.804T18.126,3.0725,0.068747,1.1627,0.84988,""
M878.161T13.584,3.0714,0.068805,1.1624,0.84988,""
M591.475T1442.976,3.063,0.069259,1.1595,0.84988,xvm_9-foc_9
M1338.07T13.111,3.0534,0.069778,1.1563,0.84988,""
M1086.109T15.006,2.9963,0.072981,1.1368,0.84988,""
M243.886T1577.62,2.9467,0.075894,1.1198,0.84988,""
M1130.109T15.006,2.943,0.076116,1.1185,0.84988,""
M986.795T18.125,2.9371,0.076472,1.1165,0.84988,""
M1337.74T13.11,2.9358,0.076556,1.116,0.84988,""
M1263.753T13.111,2.9241,0.07727,1.112,0.84988,""
M1384.234T13.11,2.9202,0.077504,1.1107,0.84988,""
