"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"C12.1",-0.29478,-1.393,0.93367,0.27666,0.014346,0.33263,0.19955,-0.021321,0.19352,-0.24743,0.087566,-0.073401,-0.043353,1.3878e-17
"C12.3",0.17083,-0.49228,0.44337,0.17671,-0.35555,0.094688,-0.2992,-0.39313,-0.016993,0.38446,0.014639,0.14701,0.084188,1.4095e-16
"C12.4",-0.30262,-0.93031,0.21212,0.15142,-0.085554,-0.70724,0.069344,0.38562,-0.20958,0.00033669,-0.11397,0.088262,0.064434,2.0123e-16
"D12.1",-0.84212,0.95698,0.35497,-0.27965,0.11292,-0.3711,-0.036246,-0.071307,0.52978,-0.0086704,-0.029766,0.10878,-0.090328,2.0383e-16
"D12.2",-0.93169,1.0217,0.38209,0.53157,0.22066,0.13445,-0.24654,0.31854,-0.11141,0.18148,0.082499,-0.2223,-0.011813,2.2725e-16
"D12.3",-0.53374,-0.0032379,0.077416,-0.70951,0.26353,-0.028717,0.35379,-0.20829,-0.10159,0.10894,0.018888,-0.18402,0.23833,-7.4593e-17
"D12.4",-1.4096,0.96297,-0.14198,0.045594,-0.43216,0.24646,0.083649,-0.0565,-0.23807,-0.2884,-0.013198,0.17763,0.08402,1.0235e-16
"F12.1",0.87305,-0.026454,0.40573,-0.6571,0.18708,0.17605,-0.4693,0.056003,-0.20045,-0.14323,-0.24423,-0.0023734,-0.107,-1.301e-16
"F12.2",0.7941,0.42499,0.039839,0.071439,0.10567,0.16574,0.58552,0.029156,-0.15398,0.20914,-0.089825,0.11078,-0.24164,-3.7297e-17
"F12.3",1.902,0.48228,-0.25954,0.30727,-0.081593,0.16107,0.06522,0.21032,0.26832,-0.055532,-0.17537,-0.0051232,0.24076,-2.5674e-16
"F12.4",1.5577,0.46327,0.012333,-0.085576,-0.24312,-0.31888,-0.045258,-0.11725,-0.10801,-0.13857,0.42054,-0.084428,-0.063524,4.8572e-17
"X12.1",-0.55899,-0.75005,-0.92065,-0.46616,-0.36569,0.25077,-0.071238,0.3699,0.17273,0.13875,0.1179,-0.036879,-0.079766,-1.1449e-16
"X12.2",-0.32017,-0.26929,-0.80309,0.39758,-0.10236,-0.20264,-0.042214,-0.41004,0.0081295,-0.084146,-0.24595,-0.22615,-0.11522,-5.2692e-17
"X12.3",-0.10406,-0.44756,-0.73628,0.23975,0.76183,0.066717,-0.14706,-0.091691,-0.032417,-0.057145,0.17028,0.20222,0.040908,-1.0994e-16
