"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"QC.1",-4.2493,-0.53431,6.7482,6.187,-3.6484,3.6405,4.3122,-3.9492,-1.8076,6.2482,0.47031,1.8346,-0.22306,-3.2739,-1.6653e-16
"QC.2",3.0366,1.0988,-5.9378,-3.1317,-5.0191,1.6141,8.2595,-1.072,-1.9682,-5.3667,2.3342,1.6624,2.7928,0.88184,3.0585e-15
"QC.3",6.3277,7.626,5.7988,3.9022,-2.4784,-0.90684,-0.64776,3.2696,-0.53527,2.1499,2.0245,-5.9869,4.2029,1.6072,-1.7774e-15
"C12.3",-15.335,21.798,-3.8598,7.0964,1.0282,-0.18178,-2.5277,-0.70318,-0.88235,-1.7704,-2.3012,1.4805,-0.56087,0.96703,4.6263e-15
"C12.4",1.1603,4.6421,-3.7473,-8.3802,11.031,-6.4376,2.8651,-2.851,1.3994,2.9035,1.5451,0.20881,1.4233,-0.5317,1.5376e-15
"D12.1",13.187,-1.8022,7.5725,1.0227,1.8353,1.2968,-3.9375,-1.7202,-1.7625,0.49101,2.0109,4.0291,-1.0522,5.5712,4.1019e-15
"D12.2",-4.5269,-6.1515,-1.8902,-1.4495,6.0763,10.632,-0.69265,-3.6657,0.72334,-1.7303,-1.1042,-4.1315,-0.63753,0.78316,2.4779e-16
"D12.3",-17.541,-2.9184,12.234,-11.83,-4.7433,-1.5885,-3.1274,-0.35827,2.7471,-1.6219,0.4695,0.60783,0.99505,-0.36856,2.3973e-15
"D12.4",15.063,3.7239,7.7546,6.0072,2.2095,-0.54601,0.2751,0.71587,4.8123,-4.3544,0.56486,0.34878,-1.9881,-4.1363,4.8748e-15
"F12.1",3.4027,0.74037,-12.482,-1.6676,-7.7267,-0.62666,-1.1085,-1.0078,5.4004,2.8012,1.6917,-1.0077,-3.5135,1.4787,-9.2975e-15
"F12.2",10.987,-3.4072,-0.067378,-2.7494,-2.8318,-2.9649,0.58911,-1.2412,-0.50512,0.38384,-8.994,-0.26618,1.1628,0.49556,-3.3847e-15
"F12.4",-8.6959,-15.942,-3.3799,10.986,0.37034,-7.6401,-2.1592,-2.3784,-1.9443,-2.1328,1.2452,-1.3246,0.01617,-0.14377,3.2571e-15
"X12.1",5.6232,-2.1706,-9.2114,-3.4443,-0.15633,3.2479,-7.6028,2.7001,-2.476,0.63401,0.97084,2.2725,2.9396,-4.0099,-5.3496e-15
"X12.2",0.30617,1.4931,1.5741,-6.618,0.23914,-1.5005,1.5954,3.9519,-6.0834,-0.26099,0.39155,-2.0872,-5.9323,-0.95294,-2.0886e-15
"X12.3",-8.7462,-8.1959,-1.1064,4.0692,3.8141,1.9612,3.907,8.3095,2.882,1.6259,-1.3194,2.3597,0.37485,1.6325,-2.4878e-15
