"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"C12.3",-8.1285,2.0165,-2.4616,-0.87014,-0.038765,0.59332,0.14177,-0.2767,0.18876,0.0090299,-0.20993,1.5465e-15
"C12.4",-6.1241,1.3946,3.461,0.40753,-0.32388,-0.46656,-0.19137,0.31411,-0.24885,0.024687,0.063274,1.2802e-15
"D12.1",0.70919,-3.0378,0.43809,-1.2992,-0.44124,0.80416,0.41341,0.81632,-0.22268,-0.8279,-0.85985,1.1493e-15
"D12.2",0.43824,-1.3489,0.20972,1.1126,-0.86672,0.80786,1.35,-1.2582,-0.38246,-0.32305,0.72327,3.1182e-16
"D12.3",-1.1478,-1.9676,-0.94087,0.80205,1.4086,-1.9867,0.92616,0.54371,0.37791,-0.18,0.20469,2.7235e-16
"D12.4",-0.19901,-3.2361,0.32163,-1.7761,0.63435,0.52204,-0.5791,0.018987,0.15424,1.0837,0.60185,4.996e-16
"F12.1",3.3344,2.1543,-0.87556,-1.5368,-1.0302,-0.96434,-0.32418,0.38833,-1.1977,-0.18516,0.51169,-6.3068e-16
"F12.2",2.9139,0.59049,0.58733,-0.94575,-0.39267,-1.0602,-0.050824,-1.5261,0.51867,0.25339,-0.85271,-5.8113e-17
"F12.4",4.0466,3.382,0.72557,-0.51422,2.1221,0.95675,0.40454,0.24582,0.59661,-0.3187,0.25354,-1.2724e-15
"X12.1",2.3503,0.81098,-0.4205,1.1867,-2.3108,0.22525,0.080207,0.9496,1.072,0.4402,0.064403,-1.5977e-15
"X12.2",0.22585,-1.0906,-0.5017,1.3519,0.29398,0.095977,-2.1243,-0.39972,0.21927,-0.7814,0.20623,-5.2909e-17
"X12.3",1.5808,0.33206,-0.54311,2.0814,0.94525,0.47241,-0.046361,0.18381,-1.0758,0.80521,-0.70645,-1.2381e-15
